State,Total Schools - All Management,Total Schools - Govt.,Total Schools - Govt. Aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with Electricity Facility - All Management,Schools with Electricity Facility - Govt.,Schools with Electricity Facility - Govt. Aided,Schools with Electricity Facility - Pvt. unaided,Schools with Electricity Facility - Others,Schools with Functional Electricity Facility - All Management,Schools with Functional Electricity Facility - Govt.,Schools with Functional Electricity Facility - Govt. Aided,Schools with Functional Electricity Facility - Pvt. unaided,Schools with Functional Electricity Facility - Others,% of Schools with Electricity Connection - All Management,% of Schools with Electricity Connection - Govt.,% of Schools with Electricity Connection - Govt. Aided,% of Schools with Electricity Connection - Pvt. unaided,% of Schools with Electricity Connection - Others,% of Schools with Functional Electricity Connection - All Management,% of Schools with Functional Electricity Connection - Govt.,% of Schools with Functional Electricity Connection - Govt. Aided,% of Schools with Functional Electricity Connection - Pvt. unaided,% of Schools with Functional Electricity Connection - Others
Andaman and Nicobar Islands,417,342,2,73,0,385,310,2,73,0,385,310,2,73,0,92.33,90.64,100.0,100.0,0.0,92.33,90.64,100.0,100.0,0.0
Andhra Pradesh,63343,45145,2121,15792,285,60217,42589,1759,15636,233,60205,42583,1759,15630,233,95.06,94.34,82.93,99.01,81.75,95.05,94.32,82.93,98.97,81.75
Arunachal Pradesh,3675,3061,67,496,51,2105,1521,65,472,47,1735,1158,64,468,45,57.28,49.69,97.01,95.16,92.16,47.21,37.83,95.52,94.35,88.24
Assam,65203,46749,4983,6045,7426,39132,32979,960,4491,702,37573,31827,843,4404,499,60.02,70.54,19.27,74.29,9.45,57.62,68.08,16.92,72.85,6.72
Bihar,93459,75555,735,7923,9246,80881,63993,646,7653,8589,79788,63053,642,7603,8490,86.54,84.7,87.89,96.59,92.89,85.37,83.45,87.35,95.96,91.82
Chandigarh,230,121,7,75,27,230,121,7,75,27,230,121,7,75,27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Chhattisgarh,56494,48619,430,7131,314,53238,45553,390,6996,299,49780,42170,379,6940,291,94.24,93.69,90.7,98.11,95.22,88.12,86.74,88.14,97.32,92.68
Dadra and Nagar Haveli and Daman and Diu,479,407,8,63,1,479,407,8,63,1,479,407,8,63,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0,5642,2751,250,2641,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
Goa,1481,821,522,138,0,1481,821,522,138,0,1481,821,522,138,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
Gujarat,54444,34967,5640,13834,3,54412,34936,5639,13834,3,54410,34934,5639,13834,3,99.94,99.91,99.98,100.0,100.0,99.94,99.91,99.98,100.0,100.0
Haryana,23764,14563,17,8235,949,23516,14378,17,8186,935,23182,14056,17,8175,934,98.96,98.73,100.0,99.4,98.52,97.55,96.52,100.0,99.27,98.42
Himachal Pradesh,18145,15391,0,2753,1,17809,15062,0,2746,1,17619,14875,0,2743,1,98.15,97.86,0.0,99.75,100.0,97.1,96.65,0.0,99.64,100.0
Jammu and Kashmir,28930,23167,1,5649,113,21228,16234,1,4903,90,20386,15483,1,4815,87,73.38,70.07,100.0,86.79,79.65,70.47,66.83,100.0,85.24,76.99
Jharkhand,45319,35888,1175,1542,6714,42896,34534,796,1485,6081,41349,33133,755,1469,5992,94.65,96.23,67.74,96.3,90.57,91.24,92.32,64.26,95.27,89.25
Karnataka,76905,49791,7182,19915,17,76102,49400,7173,19512,17,75847,49171,7166,19494,16,98.96,99.21,99.87,97.98,100.0,98.62,98.75,99.78,97.89,94.12
Kerala,16481,5020,7191,3241,1029,16379,4932,7186,3234,1027,16354,4909,7186,3232,1027,99.38,98.25,99.93,99.78,99.81,99.23,97.79,99.93,99.72,99.81
Ladakh,1056,915,29,112,0,939,819,29,91,0,936,816,29,91,0,88.92,89.51,100.0,81.25,0.0,88.64,89.18,100.0,81.25,0.0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,45,45,0,0,0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
Madhya Pradesh,133271,99152,773,31512,1834,99002,68659,563,28219,1561,95999,66144,552,27762,1541,74.29,69.25,72.83,89.55,85.11,72.03,66.71,71.41,88.1,84.02
Maharashtra,110114,65734,23924,19632,824,105023,61089,23654,19462,818,95156,51507,23484,19350,815,95.38,92.93,98.87,99.13,99.27,86.42,78.36,98.16,98.56,98.91
Manipur,4653,2878,585,1027,163,3078,1742,219,977,140,2483,1206,166,974,137,66.15,60.53,37.44,95.13,85.89,53.36,41.9,28.38,94.84,84.05
Meghalaya,14694,7795,4176,2179,544,3583,1289,1296,753,245,3365,1172,1236,726,231,24.38,16.54,31.03,34.56,45.04,22.9,15.04,29.6,33.32,42.46
Mizoram,3925,2558,231,1050,86,3297,2070,223,927,77,3143,1929,221,918,75,84.0,80.92,96.54,88.29,89.53,80.08,75.41,95.67,87.43,87.21
Nagaland,2719,1975,0,743,1,1949,1280,0,668,1,1854,1194,0,659,1,71.68,64.81,0.0,89.91,100.0,68.19,60.46,0.0,88.69,100.0
Odisha,64185,50256,5844,6393,1692,52173,40176,4564,6004,1429,45492,34593,3859,5713,1327,81.29,79.94,78.1,93.92,84.46,70.88,68.83,66.03,89.36,78.43
Puducherry,741,422,33,286,0,741,422,33,286,0,741,422,33,286,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
Punjab,28695,19330,455,8893,17,28695,19330,455,8893,17,28695,19330,455,8893,17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Rajasthan,107376,68813,0,36023,2540,91204,54886,0,34374,1944,89990,53967,0,34122,1901,84.94,79.76,0.0,95.42,76.54,83.81,78.43,0.0,94.72,74.84
Sikkim,1263,851,19,393,0,1253,841,19,393,0,1242,830,19,393,0,99.21,98.82,100.0,100.0,0.0,98.34,97.53,100.0,100.0,0.0
Tamil Nadu,58904,37589,8326,12402,587,58904,37589,8326,12402,587,58904,37589,8326,12402,587,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Telangana,42917,30015,700,12023,179,40395,27632,637,11947,179,38879,26119,637,11945,178,94.12,92.06,91.0,99.37,100.0,90.59,87.02,91.0,99.35,99.44
Tripura,4934,4265,43,360,266,2169,1722,37,310,100,2079,1639,37,308,95,43.96,40.38,86.05,86.11,37.59,42.14,38.43,86.05,85.56,35.71
Uttar Pradesh,256911,137068,8125,96741,14977,210023,110902,6818,80571,11732,200059,103277,6692,78731,11359,81.75,80.91,83.91,83.29,78.33,77.87,75.35,82.36,81.38,75.84
Uttarakhand,23169,16651,614,5396,508,20777,14584,573,5121,499,19961,13822,565,5083,491,89.68,87.59,93.32,94.9,98.23,86.15,83.01,92.02,94.2,96.65
West Bengal,95153,83379,87,10042,1645,92063,81418,85,9140,1420,90967,80441,84,9045,1397,96.75,97.65,97.7,91.02,86.32,95.6,96.48,96.55,90.07,84.92
